,category_id,code_pais,sd_group_pais_mean,sd_group_pais_median
0,layer-1,ARG,475.8846500358783,0.7651188111161344
1,layer-1,ARG,782.470174386413,1.2045510596982847
2,layer-1,ARG,1739.8108518139122,2.542352601040149
3,layer-1,ARG,1403.234830372072,1.4550643858976677
44,layer-1,BRA,415.55318541942637,0.6681189636178911
45,layer-1,BRA,801.906316769227,1.2344714664690901
46,layer-1,BRA,1917.4924171336907,2.801995302588229
47,layer-1,BRA,1687.184809373891,1.7495022753223384
88,layer-1,COL,546.5334027795897,0.8787066095501255
89,layer-1,COL,952.8795636473817,1.4668828611344211
90,layer-1,COL,2283.6993198593923,3.3371265041742295
91,layer-1,COL,2262.681438443113,2.3462553141139617
132,layer-1,MEX,480.3840240701482,0.7723528240468047
133,layer-1,MEX,808.623247363408,1.2448116508364833
134,layer-1,MEX,1846.5881124244881,2.698384186865823
135,layer-1,MEX,1704.8502884255947,1.7678202424021183
176,layer-1,USA,238.36735456301483,0.38324276044289646
177,layer-1,USA,369.9097579535015,0.569446869058021
178,layer-1,USA,901.0379162655489,1.3166696182318844
179,layer-1,USA,838.0837344353317,0.8690390004455832
220,stablecoins,ARG,5.253131202472521,0.00888773916232868
221,stablecoins,ARG,28.300282011894353,0.01403968154843498
222,stablecoins,ARG,9.03646160980793,0.0057226871840673375
223,stablecoins,ARG,13.313757237306763,0.0028763586917043664
260,stablecoins,BRA,4.587152379151263,0.007760973840623401
261,stablecoins,BRA,29.003245944146556,0.014388419760468056
262,stablecoins,BRA,9.959327817998798,0.006307127737269139
263,stablecoins,BRA,16.007847354045097,0.0034584009646248352
300,stablecoins,COL,6.032999112533849,0.010207192703187148
301,stablecoins,COL,34.46362718647767,0.0170972978466708
302,stablecoins,COL,11.861382063882628,0.007511676810382616
303,stablecoins,COL,21.46810407264736,0.004638057209781451
340,stablecoins,MEX,5.302798284882603,0.00897177058214307
341,stablecoins,MEX,29.24618303784324,0.01450894009416527
342,stablecoins,MEX,9.5910555849529,0.006073905168602218
343,stablecoins,MEX,16.175455721856785,0.0034946117634974423
380,stablecoins,USA,2.6312573599745273,0.004451807537836495
381,stablecoins,USA,13.378849203095461,0.006637205318909919
382,stablecoins,USA,4.679930884915442,0.0029637463925435378
383,stablecoins,USA,7.951657942989334,0.001717908778874814
