category_id,coin_id,variable,value
layer-1,algorand,ranking_estabilidad,0.6599999999999999
layer-1,binancecoin,ranking_estabilidad,0.3
layer-1,bitcoin,ranking_estabilidad,0.0
layer-1,bitcoin-cash,ranking_estabilidad,0.18
layer-1,cardano,ranking_estabilidad,0.78
layer-1,cosmos,ranking_estabilidad,0.4
layer-1,crypto-com-chain,ranking_estabilidad,0.8400000000000001
layer-1,ethereum,ranking_estabilidad,0.12000000000000002
layer-1,fantom,ranking_estabilidad,0.74
layer-1,hedera-hashgraph,ranking_estabilidad,0.96
layer-1,tezos,ranking_estabilidad,0.52
stablecoins,bilira,ranking_estabilidad,0.37777777777777777
stablecoins,binance-usd,ranking_estabilidad,0.7333333333333333
stablecoins,dai,ranking_estabilidad,0.6222222222222221
stablecoins,gemini-dollar,ranking_estabilidad,0.3333333333333333
stablecoins,pax-gold,ranking_estabilidad,0.0
stablecoins,paxos-standard,ranking_estabilidad,0.5777777777777777
stablecoins,stasis-eurs,ranking_estabilidad,0.11111111111111112
stablecoins,tether,ranking_estabilidad,0.9111111111111111
stablecoins,true-usd,ranking_estabilidad,0.6444444444444445
stablecoins,usd-coin,ranking_estabilidad,0.6888888888888889
layer-1,algorand,ranking_volumen,0.33999999999999997
layer-1,binancecoin,ranking_volumen,0.7
layer-1,bitcoin,ranking_volumen,1.0
layer-1,bitcoin-cash,ranking_volumen,0.72
layer-1,cardano,ranking_volumen,0.6799999999999999
layer-1,cosmos,ranking_volumen,0.48
layer-1,crypto-com-chain,ranking_volumen,0.12000000000000002
layer-1,ethereum,ranking_volumen,0.9
layer-1,fantom,ranking_volumen,0.24000000000000005
layer-1,hedera-hashgraph,ranking_volumen,0.06000000000000001
layer-1,tezos,ranking_volumen,0.26
stablecoins,bilira,ranking_volumen,0.02222222222222222
stablecoins,binance-usd,ranking_volumen,0.7333333333333333
stablecoins,dai,ranking_volumen,0.5111111111111111
stablecoins,gemini-dollar,ranking_volumen,0.26666666666666666
stablecoins,pax-gold,ranking_volumen,0.3333333333333333
stablecoins,paxos-standard,ranking_volumen,0.5333333333333333
stablecoins,stasis-eurs,ranking_volumen,0.13333333333333333
stablecoins,tether,ranking_volumen,1.0
stablecoins,true-usd,ranking_volumen,0.6666666666666666
stablecoins,usd-coin,ranking_volumen,0.8
layer-1,algorand,indice_estabilidad,5.51
layer-1,binancecoin,indice_estabilidad,4.36
layer-1,bitcoin,indice_estabilidad,3.4
layer-1,bitcoin-cash,indice_estabilidad,3.64
layer-1,cardano,indice_estabilidad,7.46
layer-1,cosmos,indice_estabilidad,4.27
layer-1,crypto-com-chain,indice_estabilidad,5.95
layer-1,ethereum,indice_estabilidad,3.85
layer-1,fantom,indice_estabilidad,5.7
layer-1,hedera-hashgraph,indice_estabilidad,6.54
layer-1,tezos,indice_estabilidad,4.32
stablecoins,bilira,indice_estabilidad,2.57
stablecoins,binance-usd,indice_estabilidad,7.33
stablecoins,dai,indice_estabilidad,5.84
stablecoins,gemini-dollar,indice_estabilidad,3.11
stablecoins,pax-gold,indice_estabilidad,1.13
stablecoins,paxos-standard,indice_estabilidad,5.63
stablecoins,stasis-eurs,indice_estabilidad,1.19
stablecoins,tether,indice_estabilidad,9.41
stablecoins,true-usd,indice_estabilidad,6.52
stablecoins,usd-coin,indice_estabilidad,7.27
